"Plot Title: height_6"
"#","Date Time, GMT+02:00","Temp, °C (LGR S/N: 20884707, SEN S/N: 20884707, LBL: T)","Intensity, Lux (LGR S/N: 20884707, SEN S/N: 20884707, LBL: L)","Coupler Attached (LGR S/N: 20884707)","Host Connected (LGR S/N: 20884707)","Stopped (LGR S/N: 20884707)","End Of File (LGR S/N: 20884707)"
1,09/14/23 06:00:00 PM,15.951,0.0,,,,
2,09/14/23 06:30:00 PM,15.760,10.8,,,,
3,09/14/23 07:00:00 PM,15.760,10.8,,,,
4,09/14/23 07:30:00 PM,15.855,0.0,,,,
5,09/14/23 08:00:00 PM,15.855,0.0,,,,
6,09/14/23 08:30:00 PM,15.855,0.0,,,,
7,09/14/23 09:00:00 PM,15.855,0.0,,,,
8,09/14/23 09:30:00 PM,15.855,0.0,,,,
9,09/14/23 10:00:00 PM,15.855,0.0,,,,
10,09/14/23 10:30:00 PM,15.855,0.0,,,,
11,09/14/23 11:00:00 PM,15.855,0.0,,,,
12,09/14/23 11:30:00 PM,15.855,0.0,,,,
13,09/15/23 12:00:00 AM,15.855,0.0,,,,
14,09/15/23 12:30:00 AM,15.760,0.0,,,,
15,09/15/23 01:00:00 AM,15.760,0.0,,,,
16,09/15/23 01:30:00 AM,15.760,0.0,,,,
17,09/15/23 02:00:00 AM,15.664,0.0,,,,
18,09/15/23 02:30:00 AM,15.664,0.0,,,,
19,09/15/23 03:00:00 AM,15.664,0.0,,,,
20,09/15/23 03:30:00 AM,15.664,0.0,,,,
21,09/15/23 04:00:00 AM,15.664,0.0,,,,
22,09/15/23 04:30:00 AM,15.664,0.0,,,,
23,09/15/23 05:00:00 AM,15.569,0.0,,,,
24,09/15/23 05:30:00 AM,15.569,0.0,,,,
25,09/15/23 06:00:00 AM,15.569,86.1,,,,
26,09/15/23 06:30:00 AM,15.569,86.1,,,,
27,09/15/23 07:00:00 AM,15.569,86.1,,,,
28,09/15/23 07:30:00 AM,15.569,86.1,,,,
29,09/15/23 08:00:00 AM,15.569,86.1,,,,
30,09/15/23 08:30:00 AM,15.569,86.1,,,,
31,09/15/23 09:00:00 AM,15.569,86.1,,,,
32,09/15/23 09:30:00 AM,15.664,86.1,,,,
33,09/15/23 10:00:00 AM,15.664,86.1,,,,
34,09/15/23 10:30:00 AM,15.664,86.1,,,,
35,09/15/23 11:00:00 AM,15.569,64.6,,,,
36,09/15/23 11:30:00 AM,15.664,64.6,,,,
37,09/15/23 12:00:00 PM,15.664,64.6,,,,
38,09/15/23 12:30:00 PM,15.664,53.8,,,,
39,09/15/23 01:00:00 PM,15.664,53.8,,,,
40,09/15/23 01:30:00 PM,15.664,32.3,,,,
41,09/15/23 02:00:00 PM,15.664,53.8,,,,
42,09/15/23 02:30:00 PM,15.664,53.8,,,,
43,09/15/23 03:00:00 PM,15.664,75.3,,,,
44,09/15/23 03:30:00 PM,15.569,64.6,,,,
45,09/15/23 04:00:00 PM,15.664,64.6,,,,
46,09/15/23 04:30:00 PM,15.664,75.3,,,,
47,09/15/23 05:00:00 PM,15.664,75.3,,,,
48,09/15/23 05:30:00 PM,15.664,75.3,,,,
49,09/15/23 06:00:00 PM,15.664,0.0,,,,
50,09/15/23 06:30:00 PM,15.664,0.0,,,,
51,09/15/23 07:00:00 PM,15.760,0.0,,,,
52,09/15/23 07:30:00 PM,15.760,0.0,,,,
