"Plot Title: height_5"
"#","Date Time, GMT+02:00","Temp, °C (LGR S/N: 20884710, SEN S/N: 20884710, LBL: T)","Intensity, Lux (LGR S/N: 20884710, SEN S/N: 20884710, LBL: L)","Coupler Attached (LGR S/N: 20884710)","Host Connected (LGR S/N: 20884710)","Stopped (LGR S/N: 20884710)","End Of File (LGR S/N: 20884710)"
1,09/14/23 06:00:00 PM,16.141,0.0,,,,
2,09/14/23 06:30:00 PM,15.760,0.0,,,,
3,09/14/23 07:00:00 PM,15.760,0.0,,,,
4,09/14/23 07:30:00 PM,15.760,0.0,,,,
5,09/14/23 08:00:00 PM,15.855,0.0,,,,
6,09/14/23 08:30:00 PM,15.855,0.0,,,,
7,09/14/23 09:00:00 PM,15.855,0.0,,,,
8,09/14/23 09:30:00 PM,15.855,0.0,,,,
9,09/14/23 10:00:00 PM,15.855,0.0,,,,
10,09/14/23 10:30:00 PM,15.855,0.0,,,,
11,09/14/23 11:00:00 PM,15.855,0.0,,,,
12,09/14/23 11:30:00 PM,15.855,0.0,,,,
13,09/15/23 12:00:00 AM,15.855,0.0,,,,
14,09/15/23 12:30:00 AM,15.855,0.0,,,,
15,09/15/23 01:00:00 AM,15.760,0.0,,,,
16,09/15/23 01:30:00 AM,15.760,0.0,,,,
17,09/15/23 02:00:00 AM,15.760,0.0,,,,
18,09/15/23 02:30:00 AM,15.664,0.0,,,,
19,09/15/23 03:00:00 AM,15.664,0.0,,,,
20,09/15/23 03:30:00 AM,15.664,0.0,,,,
21,09/15/23 04:00:00 AM,15.664,0.0,,,,
22,09/15/23 04:30:00 AM,15.664,0.0,,,,
23,09/15/23 05:00:00 AM,15.569,0.0,,,,
24,09/15/23 05:30:00 AM,15.569,0.0,,,,
25,09/15/23 06:00:00 AM,15.569,107.6,,,,
26,09/15/23 06:30:00 AM,15.569,107.6,,,,
27,09/15/23 07:00:00 AM,15.569,118.4,,,,
28,09/15/23 07:30:00 AM,15.569,118.4,,,,
29,09/15/23 08:00:00 AM,15.569,118.4,,,,
30,09/15/23 08:30:00 AM,15.569,118.4,,,,
31,09/15/23 09:00:00 AM,15.569,118.4,,,,
32,09/15/23 09:30:00 AM,15.664,118.4,,,,
33,09/15/23 10:00:00 AM,15.664,107.6,,,,
34,09/15/23 10:30:00 AM,15.664,118.4,,,,
35,09/15/23 11:00:00 AM,15.664,118.4,,,,
